epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
9,8099,,1.3807605504989624,,,,,
9,8149,,1.441624402999878,,,,,
9,8199,,1.4064245223999023,,,,,
9,8249,,1.3849248886108398,,,,,
9,8299,,1.431745171546936,,,,,
9,8349,,1.4834535121917725,,,,,
9,8399,,1.3749110698699951,,,,,
9,8449,,1.4062718152999878,,,,,
9,8499,,1.4148253202438354,,,,,
9,8529,,,0.6442941427230835,28.1782283782959,0.8617029190063477,1.4342149496078491,1.4342149496078491
9,8529,1.421565294265747,,,,,,
10,8549,,1.42237389087677,,,,,
10,8599,,1.4125736951828003,,,,,
10,8649,,1.4215149879455566,,,,,
10,8699,,1.4204111099243164,,,,,
10,8749,,1.4386707544326782,,,,,
10,8799,,1.413804054260254,,,,,
10,8849,,1.4419865608215332,,,,,
10,8899,,1.4184625148773193,,,,,
