feature,mean_gain
feature_61__ewm5,0.0011309561696390695
feature_65__ewm50,0.0011297578937076332
responder_2_prev_tail_lag10,0.0011279828845276831
feature_37__lag900,0.0011273937622858156
feature_20__lag100,0.0011271452813759893
feature_25__ret50,0.0011242305657057049
feature_27__ret50,0.0011192817246836076
feature_37__lag500,0.001116763343697673
feature_05__lag50,0.0011150118927452282
responder_7_close_roll30_mean,0.0011142130179990512
responder_0_prev_tail_lag100,0.0011121506049576006
feature_56,0.0011118756863946104
responder_5_prev_tail_lag50,0.001110496621537421
feature_06__rstd14,0.0011101178352606977
feature_49__ewm50,0.001109631523224391
responder_4_prevday_close_minus_mean,0.0011074056359809078
feature_67__rstd30,0.0011054877775912547
feature_38__lag50,0.0011046576299407651
feature_25__rz30,0.001103946031533614
responder_6_prevday_close_minus_mean,0.0011034388408053615
feature_36__ewm50,0.001103035223132639
feature_23__ret50,0.001100054558781347
feature_24__lag100,0.0010997478682875038
responder_8_prev_tail_d10,0.001099237086268726
feature_29__lag2904,0.001098511326029871
feature_52,0.001098382099137212
responder_1_prev2day_close,0.0010969211885172303
responder_3_close_roll7_std,0.0010882413524573216
feature_11,0.0010837248480621705
responder_3_prev_tail_d10,0.001083216145539801
feature_22,0.001081709148356568
feature_68__rmean30,0.0010785629536283372
responder_0_prev_tail_lag31,0.0010723442132451343
responder_0_close_roll14_std,0.0010710728041980803
feature_58__ewm10,0.0010673908604417032
responder_5_prev_tail_lag900,0.0010662600771495817
feature_26__lag1936,0.0010612484482990746
feature_26__rz30,0.0010588187062443928
feature_70__rstd30,0.0010576654203583514
feature_61,0.0010562626418469012
responder_7_prev_tail_d5,0.0010561292446085394
responder_3_close_roll14_std,0.0010550991168815026
feature_61__lag50,0.001052145736410971
feature_61__rz7,0.0010489313841504939
feature_19__ewm50,0.0010483440803289966
feature_04__rmean14,0.0010482363744607173
feature_05__rmean7,0.001047708427072084
responder_1_close_roll30_mean,0.0010459233933414035
feature_76__ewm10,0.001045855358740723
feature_51__ewm50,0.0010449740002872014
feature_39__rmean30,0.0010445275530527095
feature_02__ewm50,0.001042541433416954
feature_47__lag968,0.0010410769942464802
feature_76__ewm50,0.0010370010358982653
feature_57__rmean30,0.0010321413434929891
responder_0_prev_tail_d5,0.001029952222786295
responder_6_prev_tail_lag31,0.0010298898934629269
feature_27__rz14,0.0010298402868881957
feature_01__lag1936,0.00102965754517221
feature_27__rz3,0.0010277290030437387
feature_23__lag100,0.0010261467842990872
feature_24__lag4840,0.0010244273743702608
feature_75__rstd7,0.0010202937696854686
feature_07__rmean7,0.0010202119479807042
feature_45__ewm10,0.0010200055866573542
responder_6_prev_tail_lag10,0.0010195762705906158
responder_3_prev_tail_lag900,0.0010172565700821048
responder_1_prev_tail_lag500,0.0010145701159386508
feature_31__lag1936,0.0010139259533540918
feature_29__lag1936,0.0010134838700908372
feature_06__rmean30,0.0010121084376661905
feature_22__lag500,0.001011016880782643
responder_7_close_roll7_mean,0.0010080297391849126
feature_66__ewm50,0.0010056366346039352
feature_66__rmean30,0.0010055691016731968
feature_26__lag6776,0.000997560636920412
feature_24,0.000997148719276523
responder_8_prev_tail_d1,0.000988111207895381
responder_5_prev_tail_lag11,0.000987685135468128
responder_7_overnight_gap,0.0009870592015928216
feature_60__rmean3,0.0009810234598623198
feature_43__rmean30,0.0009729510602160432
responder_5_prev_tail_lag10,0.0009729303115264452
feature_23,0.0009697113166478545
feature_42__rmean3,0.0009673392320570155
feature_08__lag6776,0.0009640288111162621
